"genus","species","secure","threatened","taxon"
"Ennomos","magnaria",0.298,0.702,"lepidoptera"
"Ennomos","subsignaria",0.434,0.566,"lepidoptera"
"Eoreuma","densellus",0.268,0.732,"lepidoptera"
"Ephestiodes","infimella",0.148,0.852,"lepidoptera"
"Epiblema","abruptana",0.118,0.882,"lepidoptera"
"Epiblema","brightonana",0.744,0.256,"lepidoptera"
"Epiblema","desertana",0.338,0.662,"lepidoptera"
"Epiblema","dorsisuffusana",0.556,0.444,"lepidoptera"
"Epiblema","glenni",0.318,0.682,"lepidoptera"
"Epiblema","otiosana",0.092,0.908,"lepidoptera"
"Epiblema","strenuana",0.15,0.85,"lepidoptera"
"Epiblema","tripartitana",0.274,0.726,"lepidoptera"
"Epicallima","argenticinctella",0.026,0.974,"lepidoptera"
"Epimecis","hortaria",0.048,0.952,"lepidoptera"
"Epina","alleni",0.548,0.452,"lepidoptera"
"Epinotia","medioviridana",0.742,0.258,"lepidoptera"
"Epipagis","adipaloides",0.068,0.932,"lepidoptera"
"Epipagis","fenestralis",0.404,0.596,"lepidoptera"
"Epipaschia","superatalis",0.024,0.976,"lepidoptera"
"Episimus","argutana",0.142,0.858,"lepidoptera"
"Episimus","tyrius",0.384,0.616,"lepidoptera"
"Estigmene","acrea",0.024,0.976,"lepidoptera"
"Eubaphe","mendica",0.1,0.9,"lepidoptera"
"Euchaetes","egle",0.042,0.958,"lepidoptera"
"Euchlaena","amoenaria",0.152,0.848,"lepidoptera"
"Euchlaena","johnsonaria",0.354,0.646,"lepidoptera"
"Euchlaena","serrata",0.606,0.394,"lepidoptera"
"Eucirroedia","pampina",0.268,0.732,"lepidoptera"
"Euclea","delphinii",0.142,0.858,"lepidoptera"
"Euclemensia","bassettella",0.22,0.78,"lepidoptera"
"Euclidia","cuspidea",0.514,0.486,"lepidoptera"
"Eucopina","tocullionana",0.466,0.534,"lepidoptera"
"Eucoptocnemis","fimbriaris",0.53,0.47,"lepidoptera"
"Eucosma","kiscana",0.546,0.454,"lepidoptera"
"Eucosma","ochroterminana",0.312,0.688,"lepidoptera"
"Eucosma","olivaceana",0.706,0.294,"lepidoptera"
"Eucosma","parmatana",0.17,0.83,"lepidoptera"
"Eucosma","raracana",0.076,0.924,"lepidoptera"
"Eudeilinia","herminiata",0.676,0.324,"lepidoptera"
"Eudonia","heterosalis",0.068,0.932,"lepidoptera"
"Eudonia","strigalis",0.106,0.894,"lepidoptera"
"Eudryas","grata",0.108,0.892,"lepidoptera"
"Eudryas","unio",0.134,0.866,"lepidoptera"
"Eugnosta","bimaculana",0.294,0.706,"lepidoptera"
"Eugnosta","sartana",0.73,0.27,"lepidoptera"
"Eugonobapta","nivosaria",0.552,0.448,"lepidoptera"
"Eulithis","diversilineata",0.034,0.966,"lepidoptera"
"Eulithis","gracilineata",0.408,0.592,"lepidoptera"
"Eulithis","molliculata",0.87,0.13,"lepidoptera"
"Eulogia","ochrifrontella",0.088,0.912,"lepidoptera"
"Eumarozia","malachitana",0.084,0.916,"lepidoptera"
"Eumorpha","achemon",0.172,0.828,"lepidoptera"
"Eumorpha","fasciatus",0.264,0.736,"lepidoptera"
"Eumorpha","pandorus",0.012,0.988,"lepidoptera"
"Euparthenos","nubilis",0.116,0.884,"lepidoptera"
"Euphyia","intermediata",0.928,0.072,"lepidoptera"
"Eupithecia","columbiata",0.582,0.418,"lepidoptera"
"Eupithecia","matheri",0.496,0.504,"lepidoptera"
"Eupithecia","miserulata",0.228,0.772,"lepidoptera"
"Eupithecia","peckorum",0.642,0.358,"lepidoptera"
"Euplexia","benesimilis",0.408,0.592,"lepidoptera"
"Eupsilia","cirripalea",0.468,0.532,"lepidoptera"
"Eupsilia","morrisoni",0.218,0.782,"lepidoptera"
"Eupsilia","vinulenta",0.404,0.596,"lepidoptera"
"Euptoieta","claudia",0.008,0.992,"lepidoptera"
"Eusarca","confusaria",0.028,0.972,"lepidoptera"
"Eusarca","fundaria",0.602,0.398,"lepidoptera"
"Eustixia","pupula",0.078,0.922,"lepidoptera"
"Eutelia","pulcherrimus",0.402,0.598,"lepidoptera"
"Euthyatira","pudens",0.318,0.682,"lepidoptera"
"Eutrapela","clemataria",0.024,0.976,"lepidoptera"
"Euzophera","ostricolorella",0.202,0.798,"lepidoptera"
"Evergestis","pallidata",0.33,0.67,"lepidoptera"
"Evergestis","rimosalis",0.11,0.89,"lepidoptera"
"Exelis","pyrolaria",0.536,0.464,"lepidoptera"
"Exoteleia","pinifoliella",0.284,0.716,"lepidoptera"
"Fabiola","edithella",0.46,0.54,"lepidoptera"
"Fascista","bimaculella",0.258,0.742,"lepidoptera"
"Fascista","cercerisella",0.268,0.732,"lepidoptera"
"Feltia","herilis",0.152,0.848,"lepidoptera"
"Feltia","jaculifera",0.096,0.904,"lepidoptera"
"Feltia","subterranea",0.416,0.584,"lepidoptera"
"Feltia","tricosa",0.692,0.308,"lepidoptera"
"Feralia","major",0.536,0.464,"lepidoptera"
"Fissicrambus","mutabilis",0.088,0.912,"lepidoptera"
"Framinghamia","helvalis",0.606,0.394,"lepidoptera"
"Frumenta","nundinella",0.41,0.59,"lepidoptera"
"Fulgoraecia","exigua",0.138,0.862,"lepidoptera"
"Fumibotys","fumalis",0.346,0.654,"lepidoptera"
"Furcula","borealis",0.15,0.85,"lepidoptera"
"Furcula","cinerea",0.444,0.556,"lepidoptera"
"Galasa","nigrinodis",0.074,0.926,"lepidoptera"
"Galgula","partita",0.046,0.954,"lepidoptera"
"Galleria","mellonella",0.398,0.602,"lepidoptera"
"Gerdana","caritella",0.324,0.676,"lepidoptera"
"Glaphyria","fulminalis",0.136,0.864,"lepidoptera"
"Glaphyria","glaphyralis",0.28,0.72,"lepidoptera"
"Glaphyria","invisalis",0.13,0.87,"lepidoptera"
"Glaphyria","sesquistrialis",0.364,0.636,"lepidoptera"
"Glaucolepis","saccharella",0.39,0.61,"lepidoptera"
"Glena","cribrataria",0.41,0.59,"lepidoptera"
"Glenoides","texanaria",0.074,0.926,"lepidoptera"
"Globia","oblonga",0.368,0.632,"lepidoptera"
"Gluphisia","septentrionis",0.082,0.918,"lepidoptera"
"Glyphidocera","democratica",0.36,0.64,"lepidoptera"
"Glyphidocera","dimorphella",0.516,0.484,"lepidoptera"
"Glyphidocera","juniperella",0.36,0.64,"lepidoptera"
"Glyphodes","pyloalis",0.456,0.544,"lepidoptera"
"Glyptocera","consobrinella",0.556,0.444,"lepidoptera"
"Gnorimoschema","gallaesolidaginis",0.662,0.338,"lepidoptera"
"Gonioterma","mistrella",0.244,0.756,"lepidoptera"
"Goya","stictella",0.522,0.478,"lepidoptera"
"Grammia","parthenice",0.15,0.85,"lepidoptera"
"Grammia","virgo",0.076,0.924,"lepidoptera"
"Grapholita","packardi",0.51,0.49,"lepidoptera"
"Grapholita","prunivora",0.478,0.522,"lepidoptera"
"Grapholita","tristrigana",0.596,0.404,"lepidoptera"
"Gretchena","bolliana",0.692,0.308,"lepidoptera"
"Gretchena","delicatana",0.614,0.386,"lepidoptera"
"Gueneria","similaria",0.246,0.754,"lepidoptera"
"Gymnandrosoma","punctidiscanum",0.128,0.872,"lepidoptera"
"Habrosyne","scripta",0.822,0.178,"lepidoptera"
"Haematopis","grataria",0.052,0.948,"lepidoptera"
"Halysidota","harrisii",0.034,0.966,"lepidoptera"
"Halysidota","tessellaris",0.02,0.98,"lepidoptera"
"Haploa","clymene",0.014,0.986,"lepidoptera"
"Haploa","confusa",0.926,0.074,"lepidoptera"
"Haploa","contigua",0.712,0.288,"lepidoptera"
"Haploa","lecontei",0.56,0.44,"lepidoptera"
"Harrisimemna","trisignata",0.346,0.654,"lepidoptera"
"Harrisina","americana",0.03,0.97,"lepidoptera"
"Hedya","separatana",0.186,0.814,"lepidoptera"
"Helcystogramma","hystricella",0.262,0.738,"lepidoptera"
"Helcystogramma","melanocarpa",0.572,0.428,"lepidoptera"
"Helicoverpa","zea",0.024,0.976,"lepidoptera"
"Heliocheilus","lupata",0.424,0.576,"lepidoptera"
"Heliomata","cycladata",0.066,0.934,"lepidoptera"
"Hellinsia","homodactylus",0.606,0.394,"lepidoptera"
"Helvibotys","helvialis",0.378,0.622,"lepidoptera"
"Hemaris","diffinis",0.002,0.998,"lepidoptera"
"Hemaris","thysbe",0.024,0.976,"lepidoptera"
"Henricus","edwardsiana",0.352,0.648,"lepidoptera"
"Herpetogramma","aeglealis",0.212,0.788,"lepidoptera"
"Herpetogramma","aquilonalis",0.624,0.376,"lepidoptera"
"Herpetogramma","bipunctalis",0.214,0.786,"lepidoptera"
"Herpetogramma","fluctuosalis",0.136,0.864,"lepidoptera"
"Herpetogramma","pertextalis",0.072,0.928,"lepidoptera"
"Herpetogramma","phaeopteralis",0.428,0.572,"lepidoptera"
"Herpetogramma","sphingealis",0.362,0.638,"lepidoptera"
"Herpetogramma","theseusalis",0.406,0.594,"lepidoptera"
"Herpetogramma","thestealis",0.21,0.79,"lepidoptera"
"Heterocampa","obliqua",0.074,0.926,"lepidoptera"
"Heterocampa","umbrata",0.504,0.496,"lepidoptera"
"Heterogenea","shurtleffi",0.37,0.63,"lepidoptera"
"Heterophleps","refusaria",0.656,0.344,"lepidoptera"
"Heterophleps","triguttaria",0.166,0.834,"lepidoptera"
"Homadaula","anisocentra",0.35,0.65,"lepidoptera"
"Homochlodes","fritillaria",0.708,0.292,"lepidoptera"
"Homoeosoma","electella",0.282,0.718,"lepidoptera"
"Homophoberia","apicosa",0.18,0.82,"lepidoptera"
"Homophoberia","cristata",0.528,0.472,"lepidoptera"
"Homorthodes","lindseyi",0.242,0.758,"lepidoptera"
"Homosetia","argentinotella",0.556,0.444,"lepidoptera"
"Homostinea","curviliniella",0.5,0.5,"lepidoptera"
"Horisme","intestinata",0.16,0.84,"lepidoptera"
"Hulda","impudens",0.508,0.492,"lepidoptera"
"Hyalophora","cecropia",0.148,0.852,"lepidoptera"
"Hybroma","servulella",0.212,0.788,"lepidoptera"
"Hydrelia","condensata",0.762,0.238,"lepidoptera"
"Hydrelia","inornata",0.652,0.348,"lepidoptera"
"Hydriomena","transfigurata",0.496,0.504,"lepidoptera"
"Hylephila","phyleus",0.004,0.996,"lepidoptera"
"Hyles","gallii",0.698,0.302,"lepidoptera"
"Hyles","lineata",0.1,0.9,"lepidoptera"
"Hymenia","perspectalis",0.064,0.936,"lepidoptera"
"Hypagyrtis","unipunctata",0.03,0.97,"lepidoptera"
"Hyparpax","aurora",0.308,0.692,"lepidoptera"
"Hypena","abalienalis",0.33,0.67,"lepidoptera"
"Hypena","baltimoralis",0.144,0.856,"lepidoptera"
"Hypena","bijugalis",0.278,0.722,"lepidoptera"
"Hypena","deceptalis",0.6,0.4,"lepidoptera"
"Hypena","madefactalis",0.264,0.736,"lepidoptera"
"Hypena","manalis",0.038,0.962,"lepidoptera"
"Hypena","palparia",0.318,0.682,"lepidoptera"
"Hypena","scabra",0.016,0.984,"lepidoptera"
"Hypenodes","franclemonti",0.544,0.456,"lepidoptera"
"Hypercompe","scribonia",0.01,0.99,"lepidoptera"
"Hyperstrotia","flaviguttata",0.47,0.53,"lepidoptera"
"Hyperstrotia","nana",0.39,0.61,"lepidoptera"
"Hyperstrotia","pervertens",0.16,0.84,"lepidoptera"
"Hyperstrotia","secta",0.15,0.85,"lepidoptera"
"Hyphantria","cunea",0,1,"lepidoptera"
"Hypomecis","umbrosaria",0.364,0.636,"lepidoptera"
"Hypoprepia","fucosa",0.074,0.926,"lepidoptera"
"Hypoprepia","miniata",0.1,0.9,"lepidoptera"
"Hypsopygia","binodulalis",0.752,0.248,"lepidoptera"
"Hypsopygia","costalis",0.3,0.7,"lepidoptera"
"Hypsopygia","intermedialis",0.142,0.858,"lepidoptera"
"Hypsopygia","olinalis",0.018,0.982,"lepidoptera"
"Hypsoropha","hormos",0.132,0.868,"lepidoptera"
"Ianassa","lignicolor",0.414,0.586,"lepidoptera"
"Idaea","bonifata",0.24,0.76,"lepidoptera"
"Idaea","demissaria",0.744,0.256,"lepidoptera"
"Idaea","obfusaria",0.54,0.46,"lepidoptera"
"Idaea","scintillularia",0.21,0.79,"lepidoptera"
"Idia","aemula",0.03,0.97,"lepidoptera"
"Idia","americalis",0.054,0.946,"lepidoptera"
"Idia","denticulalis",0.358,0.642,"lepidoptera"
"Idia","diminuendis",0.894,0.106,"lepidoptera"
"Idia","forbesii",0.178,0.822,"lepidoptera"
"Idia","julia",0.098,0.902,"lepidoptera"
"Idia","lubricalis",0.186,0.814,"lepidoptera"
"Idia","rotundalis",0.286,0.714,"lepidoptera"
"Idia","scobialis",0.228,0.772,"lepidoptera"
"Idioglossa","miraculosa",0.564,0.436,"lepidoptera"
"Ilexia","intractata",0.082,0.918,"lepidoptera"
"Inga","cretacea",0.51,0.49,"lepidoptera"
"Inga","sparsiciliella",0.408,0.592,"lepidoptera"
"Iodopepla","ualbum",0.572,0.428,"lepidoptera"
"Iridopsis","defectaria",0.052,0.948,"lepidoptera"
"Iridopsis","larvaria",0.142,0.858,"lepidoptera"
"Iridopsis","vellivolata",0.242,0.758,"lepidoptera"
"Isa","textula",0.092,0.908,"lepidoptera"
"Isochaetes","beutenmuelleri",0.298,0.702,"lepidoptera"
"Isocorypha","mediostriatella",0.236,0.764,"lepidoptera"
"Isogona","tenuis",0.19,0.81,"lepidoptera"
"Isophrictis","anteliella",0.358,0.642,"lepidoptera"
"Ithome","erransella",0.46,0.54,"lepidoptera"
"Junonia","coenia",0.018,0.982,"lepidoptera"
"Kearfottia","albifasciella",0.444,0.556,"lepidoptera"
"Kocakina","fidelis",0.37,0.63,"lepidoptera"
"Lacinipolia","explicata",0.138,0.862,"lepidoptera"
"Lacinipolia","implicata",0.16,0.84,"lepidoptera"
"Lacinipolia","laudabilis",0.36,0.64,"lepidoptera"
"Lacinipolia","renigera",0.036,0.964,"lepidoptera"
"Lacosoma","chiridota",0.474,0.526,"lepidoptera"
"Lambdina","fervidaria",0.088,0.912,"lepidoptera"
"Lambdina","pellucidaria",0.502,0.498,"lepidoptera"
"Lapara","bombycoides",0.66,0.34,"lepidoptera"
"Lapara","coniferarum",0.07,0.93,"lepidoptera"
"Larisa","subsolana",0.304,0.696,"lepidoptera"
"Lascoria","ambigualis",0.05,0.95,"lepidoptera"
"Lepidotarphius","perornatella",0.308,0.692,"lepidoptera"
"Leptostales","ferruminaria",0.296,0.704,"lepidoptera"
"Lerema","accius",0.146,0.854,"lepidoptera"
"Lerodea","eufala",0.528,0.472,"lepidoptera"
"Lesmone","detrahens",0.512,0.488,"lepidoptera"
"Leucania","adjuta",0.23,0.77,"lepidoptera"
"Leucania","linda",0.286,0.714,"lepidoptera"
"Leucania","scirpicola",0.326,0.674,"lepidoptera"
"Leucania","ursula",0.212,0.788,"lepidoptera"
"Leucanthiza","amphicarpeaefoliella",0.474,0.526,"lepidoptera"
"Leuconycta","diphteroides",0.162,0.838,"lepidoptera"
"Libytheana","carinenta",0.048,0.952,"lepidoptera"
"Limnaecia","phragmitella",0.282,0.718,"lepidoptera"
"Lintneria","eremitus",0.716,0.284,"lepidoptera"
"Lioptilodes","albistriolatus",0.4,0.6,"lepidoptera"
"Lipocosma","septa",0.394,0.606,"lepidoptera"
"Lipocosmodes","fuliginosalis",0.244,0.756,"lepidoptera"
"Lithacodes","fasciola",0.1,0.9,"lepidoptera"
"Lithacodia","musta",0.144,0.856,"lepidoptera"
"Lithophane","baileyi",0.332,0.668,"lepidoptera"
"Lithophane","bethunei",0.444,0.556,"lepidoptera"
"Lithophane","disposita",0.482,0.518,"lepidoptera"
"Lithophane","grotei",0.526,0.474,"lepidoptera"
"Lithophane","hemina",0.544,0.456,"lepidoptera"
"Lithophane","innominata",0.402,0.598,"lepidoptera"
"Lithophane","patefacta",0.494,0.506,"lepidoptera"
"Lithophane","querquera",0.764,0.236,"lepidoptera"
"Lithophane","signosa",0.508,0.492,"lepidoptera"
"Lithophane","unimoda",0.422,0.578,"lepidoptera"
"Lobocleta","ossularia",0.156,0.844,"lepidoptera"
"Lobophora","nivigerata",0.422,0.578,"lepidoptera"
"Lochmaeus","bilineata",0.264,0.736,"lepidoptera"
"Lochmaeus","manteo",0.214,0.786,"lepidoptera"
"Lomographa","glomeraria",0.774,0.226,"lepidoptera"
"Lomographa","semiclarata",0.432,0.568,"lepidoptera"
"Lomographa","vestaliata",0.134,0.866,"lepidoptera"
"Lophocampa","caryae",0.41,0.59,"lepidoptera"
"Loscopia","velata",0.378,0.622,"lepidoptera"
"Lycomorpha","pholus",0.548,0.452,"lepidoptera"
"Lygropia","rivulalis",0.328,0.672,"lepidoptera"
"Lytrosis","unitaria",0.534,0.466,"lepidoptera"
"Macalla","zelleri",0.254,0.746,"lepidoptera"
"Macaria","aemulataria",0.084,0.916,"lepidoptera"
"Macaria","aequiferaria",0.69,0.31,"lepidoptera"
"Macaria","bicolorata",0.15,0.85,"lepidoptera"
"Macaria","bisignata",0.096,0.904,"lepidoptera"
"Macaria","granitata",0.076,0.924,"lepidoptera"
"Macaria","minorata",0.224,0.776,"lepidoptera"
"Macaria","multilineata",0.176,0.824,"lepidoptera"
"Macaria","promiscuata",0.368,0.632,"lepidoptera"
"Macaria","pustularia",0.25,0.75,"lepidoptera"
"Macaria","transitaria",0.422,0.578,"lepidoptera"
"Machimia","tentoriferella",0.088,0.912,"lepidoptera"
"Macrochilo","absorptalis",0.632,0.368,"lepidoptera"
"Macrochilo","litophora",0.094,0.906,"lepidoptera"
"Macrochilo","louisiana",0.402,0.598,"lepidoptera"
"Macrochilo","morbidalis",0.034,0.966,"lepidoptera"
"Macrochilo","orciferalis",0.112,0.888,"lepidoptera"
"Macrochilo","santerivalis",0.728,0.272,"lepidoptera"
"Macronoctua","onusta",0.352,0.648,"lepidoptera"
"Macrosaccus","robiniella",0.68,0.32,"lepidoptera"
"Macrurocampa","marthesia",0.094,0.906,"lepidoptera"
"Malacosoma","americana",0.004,0.996,"lepidoptera"
"Malacosoma","disstria",0.244,0.756,"lepidoptera"
"Maliattha","synochitis",0.082,0.918,"lepidoptera"
"Malthaca","dimidiata",0.018,0.982,"lepidoptera"
"Manduca","jasminearum",0.212,0.788,"lepidoptera"
"Manduca","quinquemaculatus",0.056,0.944,"lepidoptera"
"Manduca","rustica",0.062,0.938,"lepidoptera"
"Manduca","sexta",0.068,0.932,"lepidoptera"
"Marathyssa","inficita",0.33,0.67,"lepidoptera"
"Marimatha","nigrofimbria",0,1,"lepidoptera"
"Marmara","viburnella",0.488,0.512,"lepidoptera"
"Martyringa","latipennis",0.178,0.822,"lepidoptera"
"Mathildana","newmanella",0.314,0.686,"lepidoptera"
"Mea","bipunctella",0.302,0.698,"lepidoptera"
"Megalographa","biloba",0.288,0.712,"lepidoptera"
"Megalopyge","crispata",0.084,0.916,"lepidoptera"
"Megalopyge","opercularis",0.16,0.84,"lepidoptera"
"Meganola","minuscula",0.152,0.848,"lepidoptera"
"Meganola","spodia",0.558,0.442,"lepidoptera"
"Melanchra","adjuncta",0.382,0.618,"lepidoptera"
"Melanchra","picta",0.634,0.366,"lepidoptera"
"Melanocinclis","lineigera",0.514,0.486,"lepidoptera"
"Melanolophia","canadaria",0.028,0.972,"lepidoptera"
"Melanolophia","signataria",0.546,0.454,"lepidoptera"
"Melanomma","auricinctaria",0.452,0.548,"lepidoptera"
"Melittia","cucurbitae",0.076,0.924,"lepidoptera"
"Mellilla","xanthometata",0.446,0.554,"lepidoptera"
"Meropleon","ambifusca",0.438,0.562,"lepidoptera"
"Mesapamea","fractilinea",0.412,0.588,"lepidoptera"
"Mesoleuca","ruficillata",0.532,0.468,"lepidoptera"
"Metalectra","discalis",0.24,0.76,"lepidoptera"
"Metalectra","quadrisignata",0.35,0.65,"lepidoptera"
"Metalectra","richardsi",0.12,0.88,"lepidoptera"
"Metanema","inatomaria",0.488,0.512,"lepidoptera"
"Metarranthis","angularia",0.298,0.702,"lepidoptera"
"Metarranthis","homuraria",0.39,0.61,"lepidoptera"
"Metarranthis","hypochraria",0.342,0.658,"lepidoptera"
"Metarranthis","indeclinata",0.522,0.478,"lepidoptera"
"Metarranthis","obfirmaria",0.28,0.72,"lepidoptera"
"Metaxaglaea","australis",0.682,0.318,"lepidoptera"
"Metaxaglaea","inulta",0.496,0.504,"lepidoptera"
"Metaxaglaea","viatica",0.514,0.486,"lepidoptera"
"Metaxaglaea","violacea",0.464,0.536,"lepidoptera"
"Metzneria","lappella",0.458,0.542,"lepidoptera"
"Microcrambus","biguttellus",0.086,0.914,"lepidoptera"
"Microcrambus","elegans",0.02,0.98,"lepidoptera"
"Microcrambus","immunellus",0.288,0.712,"lepidoptera"
"Microcrambus","kimballi",0.272,0.728,"lepidoptera"
"Misogada","unicolor",0.4,0.6,"lepidoptera"
"Mocis","texana",0.104,0.896,"lepidoptera"
"Mompha","eloisella",0.236,0.764,"lepidoptera"
"Mompha","terminella",0.544,0.456,"lepidoptera"
"Monochroa","quinquepunctella",0.54,0.46,"lepidoptera"
"Monopis","dorsistrigella",0.262,0.738,"lepidoptera"
"Monopis","longella",0.178,0.822,"lepidoptera"
"Moodna","ostrinella",0.138,0.862,"lepidoptera"
"Moodna","pallidostrinella",0.15,0.85,"lepidoptera"
"Mythimna","unipuncta",0.032,0.968,"lepidoptera"
"Nadata","gibbosa",0.028,0.972,"lepidoptera"
"Nascia","acutellus",0.298,0.702,"lepidoptera"
"Natada","nasoni",0.128,0.872,"lepidoptera"
"Nathalis","iole",0.132,0.868,"lepidoptera"
"Nedra","ramosula",0.122,0.878,"lepidoptera"
"Nemapogon","angulifasciella",0.574,0.426,"lepidoptera"
"Nematocampa","resistaria",0.516,0.484,"lepidoptera"
"Nemoria","bistriaria",0.1,0.9,"lepidoptera"
"Nemoria","elfa",0.8,0.2,"lepidoptera"
"Nemoria","lixaria",0.07,0.93,"lepidoptera"
"Nemoria","mimosaria",0.38,0.62,"lepidoptera"
"Nemoria","saturiba",0.416,0.584,"lepidoptera"
"Neodactria","caliginosellus",0.426,0.574,"lepidoptera"
"Neohelvibotys","neohelvialis",0.46,0.54,"lepidoptera"
"Neoligia","crytora",0.69,0.31,"lepidoptera"
"Nephelodes","minians",0.096,0.904,"lepidoptera"
"Nerice","bidentata",0.118,0.882,"lepidoptera"
"Neurobathra","strigifinitella",0.28,0.72,"lepidoptera"
"Niditinea","orleansella",0.456,0.544,"lepidoptera"
"Niditinea","sabroskyi",0.372,0.628,"lepidoptera"
"Nigetia","formosalis",0.106,0.894,"lepidoptera"
"Niphonyx","segregata",0.278,0.722,"lepidoptera"
"Noctua","pronuba",0.074,0.926,"lepidoptera"
"Nokona","polistiformis",0.408,0.592,"lepidoptera"
"Nokona","scepsiformis",0.568,0.432,"lepidoptera"
"Nola","cereella",0.212,0.788,"lepidoptera"
"Nola","clethrae",0.424,0.576,"lepidoptera"
"Nola","pustulata",0.566,0.434,"lepidoptera"
"Nola","triquetrana",0.272,0.728,"lepidoptera"
"Nomophila","nearctica",0,1,"lepidoptera"
"Norape","cretata",0.296,0.704,"lepidoptera"
"Notocelia","rosaecolana",0.278,0.722,"lepidoptera"
"Nycteola","metaspilella",0.298,0.702,"lepidoptera"
"Nymphalis","antiopa",0.05,0.95,"lepidoptera"
"Ochropleura","implecta",0.19,0.81,"lepidoptera"
"Oegoconia","quadripuncta",0.142,0.858,"lepidoptera"
"Oenoe","hybromella",0.52,0.48,"lepidoptera"
"Ogdoconta","cinereola",0.116,0.884,"lepidoptera"
"Olceclostera","angelica",0.378,0.622,"lepidoptera"
"Olethreutes","bipartitana",0.936,0.064,"lepidoptera"
"Olethreutes","concinnana",0.35,0.65,"lepidoptera"
"Olethreutes","fasciatana",0.138,0.862,"lepidoptera"
"Olethreutes","ferrolineana",0.516,0.484,"lepidoptera"
"Olethreutes","furfuranum",0.394,0.606,"lepidoptera"
"Olethreutes","griseoalbana",0.484,0.516,"lepidoptera"
"Olethreutes","hamameliana",0.322,0.678,"lepidoptera"
"Olethreutes","inornatana",0.728,0.272,"lepidoptera"
"Oligia","modica",0.25,0.75,"lepidoptera"
"Omphalocera","cariosa",0.36,0.64,"lepidoptera"
"Omphalocera","munroei",0.264,0.736,"lepidoptera"
"Oneida","lunulalis",0.196,0.804,"lepidoptera"
"Operophtera","bruceata",0.482,0.518,"lepidoptera"
"Oreta","rosea",0.052,0.948,"lepidoptera"
"Orgyia","definita",0.158,0.842,"lepidoptera"
"Orgyia","leucostigma",0.02,0.98,"lepidoptera"
"Orthodes","cynica",0.344,0.656,"lepidoptera"
"Orthodes","detracta",0.352,0.648,"lepidoptera"
"Orthodes","majuscula",0.204,0.796,"lepidoptera"
"Orthonama","obstipata",0.008,0.992,"lepidoptera"
"Orthosia","garmani",0.644,0.356,"lepidoptera"
"Orthosia","hibisci",0.194,0.806,"lepidoptera"
"Orthosia","rubescens",0.196,0.804,"lepidoptera"
"Ostrinia","nubilalis",0.318,0.682,"lepidoptera"
"Ostrinia","penitalis",0.582,0.418,"lepidoptera"
"Ozarba","albocostaliata",0.182,0.818,"lepidoptera"
"Pachysphinx","modesta",0.328,0.672,"lepidoptera"
"Packardia","albipunctata",0.52,0.48,"lepidoptera"
"Packardia","elegans",0.852,0.148,"lepidoptera"
"Packardia","geminata",0.434,0.566,"lepidoptera"
"Paectes","abrostoloides",0.26,0.74,"lepidoptera"
"Paectes","oculatrix",0.116,0.884,"lepidoptera"
"Paleacrita","merriccata",0.504,0.496,"lepidoptera"
"Paleacrita","vernata",0.502,0.498,"lepidoptera"
"Palpita","freemanalis",0.506,0.494,"lepidoptera"
"Palpita","magniferalis",0.128,0.872,"lepidoptera"
"Palthis","angulalis",0.076,0.924,"lepidoptera"
"Palthis","asopialis",0,1,"lepidoptera"
"Pandemis","lamprosana",0.21,0.79,"lepidoptera"
"Pandemis","limitata",0.084,0.916,"lepidoptera"
"Pangrapta","decoralis",0.088,0.912,"lepidoptera"
"Panopoda","carneicosta",0.106,0.894,"lepidoptera"
"Panopoda","rufimargo",0.02,0.98,"lepidoptera"
"Panoquina","ocola",0.044,0.956,"lepidoptera"
"Panthea","acronyctoides",0.916,0.084,"lepidoptera"
"Panthea","furcilla",0.2,0.8,"lepidoptera"
"Pantographa","limata",0.144,0.856,"lepidoptera"
"Paonias","excaecata",0.36,0.64,"lepidoptera"
"Paonias","myops",0.15,0.85,"lepidoptera"
"Papaipema","arctivorens",0.64,0.36,"lepidoptera"
"Papaipema","baptisiae",0.16,0.84,"lepidoptera"
"Papaipema","cataphracta",0.154,0.846,"lepidoptera"
"Papaipema","cerussata",0.336,0.664,"lepidoptera"
"Papaipema","furcata",0.654,0.346,"lepidoptera"
"Papaipema","impecuniosa",0.642,0.358,"lepidoptera"
"Papaipema","inquaesita",0.106,0.894,"lepidoptera"
"Papaipema","nebris",0.436,0.564,"lepidoptera"
"Papilio","appalachiensis",0.5,0.5,"lepidoptera"
"Papilio","tydeus",0.634,0.366,"lepidoptera"
"Parachma","ochracealis",0.534,0.466,"lepidoptera"
"Paracorsia","repandalis",0.316,0.684,"lepidoptera"
"Paraeschra","georgica",0.126,0.874,"lepidoptera"
"Parahypenodes","quadralis",0.536,0.464,"lepidoptera"
"Parallelia","bistriaris",0.008,0.992,"lepidoptera"
"Paralobesia","liriodendrana",0.312,0.688,"lepidoptera"
"Paralobesia","viteana",0.398,0.602,"lepidoptera"
"Parapediasia","decorellus",0.344,0.656,"lepidoptera"
"Parapediasia","teterellus",0.094,0.906,"lepidoptera"
"Parapoynx","maculalis",0.554,0.446,"lepidoptera"
"Parapoynx","obscuralis",0.352,0.648,"lepidoptera"
"Parasa","chloris",0.128,0.872,"lepidoptera"
"Parasa","indetermina",0.408,0.592,"lepidoptera"
"Paratrea","plebeja",0.136,0.864,"lepidoptera"
"Parectopa","robiniella",0.03,0.97,"lepidoptera"
